MODULE,TABLE,KEY,LABEL,SUGGESTED_VIEW,PRIMARY_ACTION
HO_SO,HO_SO_MASTER,ID,NAME,HO_SO_LIST,ACT_HO_SO_ACTIVATE
HO_SO,HO_SO_FILE,ID,FILE_NAME,HO_SO_FILE_INLINE,
HO_SO,HO_SO_RELATION,ID,RELATION_TYPE,HO_SO_RELATION_INLINE,
TASK_CENTER,TASK_MAIN,ID,TITLE,TASK_INBOX,ACT_TASK_START
TASK_CENTER,TASK_CHECKLIST,ID,TITLE,TASK_CHECKLIST_INLINE,
TASK_CENTER,TASK_UPDATE_LOG,ID,ACTION,TASK_LOG_INLINE,
TASK_CENTER,TASK_ATTACHMENT,ID,FILE_NAME,TASK_ATTACHMENT_INLINE,
FINANCE,FINANCE_TRANSACTION,ID,TRANS_CODE,FIN_LIST,ACT_FIN_CONFIRM
FINANCE,FINANCE_LOG,ID,ACTION,FIN_LOG_INLINE,
